game_id,season,home_team,away_team,season_type,week,game_date,home_score,away_score,result,home_win,home_elo_rating,away_elo_rating
1999_01_ARI_PHI,1999,PHI,ARI,REG,1,1999-09-12,24,25,-1,0,1490.0,1510.0
1999_01_BUF_IND,1999,IND,BUF,REG,1,1999-09-12,31,14,17,1,1510.0,1490.0
1999_01_CAR_NO,1999,NO,CAR,REG,1,1999-09-12,19,10,9,1,1510.0,1490.0
1999_01_CIN_TEN,1999,TEN,CIN,REG,1,1999-09-12,36,35,1,1,1510.0,1490.0
1999_01_DAL_WAS,1999,WAS,DAL,REG,1,1999-09-12,35,41,-6,0,1490.0,1510.0
1999_01_DET_SEA,1999,SEA,DET,REG,1,1999-09-12,20,28,-8,0,1490.0,1510.0
1999_01_KC_CHI,1999,CHI,KC,REG,1,1999-09-12,20,17,3,1,1510.0,1490.0
1999_01_MIA_DEN,1999,DEN,MIA,REG,1,1999-09-13,21,38,-17,0,1490.0,1510.0
1999_01_MIN_ATL,1999,ATL,MIN,REG,1,1999-09-12,14,17,-3,0,1490.0,1510.0
1999_01_NE_NYJ,1999,NYJ,NE,REG,1,1999-09-12,28,30,-2,0,1490.0,1510.0
1999_01_NYG_TB,1999,TB,NYG,REG,1,1999-09-12,13,17,-4,0,1490.0,1510.0
1999_01_OAK_GB,1999,GB,LV,REG,1,1999-09-12,28,24,4,1,1510.0,1490.0
1999_01_PIT_CLE,1999,CLE,PIT,REG,1,1999-09-12,0,43,-43,0,1490.0,1510.0
1999_01_SF_JAX,1999,JAX,SF,REG,1,1999-09-12,41,3,38,1,1510.0,1490.0
1999_02_ARI_MIA,1999,MIA,ARI,REG,2,1999-09-19,19,16,3,1,1520.0,1500.0
1999_02_ATL_DAL,1999,DAL,ATL,REG,2,1999-09-20,24,7,17,1,1520.5750112778453,1479.4249887221547
1999_02_CLE_TEN,1999,TEN,CLE,REG,2,1999-09-19,26,9,17,1,1520.5750112778453,1479.4249887221547
1999_02_DEN_KC,1999,KC,DEN,REG,2,1999-09-19,26,10,16,1,1500.0,1480.0
1999_02_GB_DET,1999,DET,GB,REG,2,1999-09-19,23,15,8,1,1520.0,1500.0
