receiver_id,fantasy_id,receiver,rec,air_yards,yards_per_target,yards_after_catch,td_rate,outside_rec,dist_from_sticks,first_down,posteam,position
00-0027944,00-0027944,J.Jones,31,12.081632653061224,6.543859649122807,4.548387096774194,0.05263157894736842,0.8148148148148148,4.387755102040816,0.3157894736842105,TB,WR
00-0028002,00-0028002,R.Cobb,34,9.58695652173913,7.867924528301887,5.4411764705882355,0.018867924528301886,0.66,1.8478260869565217,0.41509433962264153,GB,WR
00-0030035,00-0030035,A.Thielen,73,9.458715596330276,6.4,2.1506849315068495,0.05,0.7657657657657657,1.6697247706422018,0.475,MIN,WR
00-0030061,00-0030061,Z.Ertz,47,7.032258064516129,5.694444444444445,2.765957446808511,0.05555555555555555,0.5942028985507246,0,0.3472222222222222,ARI,TE
00-0030068,00-0030068,M.Goodwin,27,9.805555555555555,8.795454545454545,4.222222222222222,0.09090909090909091,0.7857142857142857,2.4444444444444446,0.4090909090909091,SEA,WR
00-0030279,00-0030279,K.Allen,72,7.211111111111111,7.80188679245283,4.125,0.03773584905660377,0.7843137254901961,0.06666666666666667,0.4339622641509434,LAC,WR
00-0030431,00-0030431,R.Woods,53,7.609756097560975,5.666666666666667,2.943396226415094,0.021505376344086023,0.7912087912087912,0.14634146341463414,0.34408602150537637,TEN,WR
00-0030564,00-0030564,D.Hopkins,64,9.255813953488373,7.099009900990099,2.578125,0.0297029702970297,0.875,1.872093023255814,0.3564356435643564,ARI,WR
00-0031236,00-0031236,B.Cooks,57,9.219780219780219,6.920792079207921,3.5964912280701755,0.0297029702970297,0.8924731182795699,1.3626373626373627,0.33663366336633666,HOU,WR
00-0031260,00-0031260,L.Thomas,39,7.222222222222222,5.046875,3.230769230769231,0.015625,0.6721311475409836,-0.48148148148148145,0.25,WAS,TE
00-0031381,00-0031381,D.Adams,100,11.46875,7.93717277486911,4.93,0.07329842931937172,0.7277777777777777,3.7625,0.3769633507853403,LV,WR
00-0031408,00-0031408,M.Evans,83,11.978260869565217,8.013245033112582,2.8072289156626504,0.039735099337748346,0.7971014492753623,4.536231884057971,0.4370860927152318,TB,WR
00-0031428,00-0031428,Al.Robinson,33,9.395833333333334,6.39622641509434,2.1515151515151514,0.05660377358490566,0.8076923076923077,2.7708333333333335,0.4528301886792453,LA,WR
00-0031544,00-0031544,A.Cooper,78,10.84,8.169014084507042,4.166666666666667,0.06338028169014084,0.8863636363636364,3.512,0.47183098591549294,CLE,WR
00-0031547,00-0031547,D.Parker,31,15.642857142857142,10.78,3.3870967741935485,0.06,0.8085106382978723,7.738095238095238,0.56,NE,WR
00-0031549,00-0031549,N.Agholor,31,12.227272727272727,6.581818181818182,4.741935483870968,0.03636363636363636,0.7547169811320755,4.363636363636363,0.2545454545454545,NE,WR
00-0031588,00-0031588,S.Diggs,119,10.083832335329342,8.438502673796792,3.689075630252101,0.058823529411764705,0.8670520231213873,2.269461077844311,0.46524064171123,BUF,WR
00-0031610,00-0031610,D.Waller,28,11.45,8.083333333333334,2.857142857142857,0.0625,0.6046511627906976,3.9,0.4375,LV,TE
00-0031763,00-0031763,D.Carter,48,8.544117647058824,7.928571428571429,4.395833333333333,0.04285714285714286,0.8088235294117647,1.1911764705882353,0.45714285714285713,LAC,WR
00-0032211,00-0032211,T.Lockett,90,9.572727272727272,8.06015037593985,3.111111111111111,0.06766917293233082,0.808,1.8,0.44360902255639095,SEA,WR
00-0032392,00-0032392,A.Hooper,41,7.7894736842105265,7.0476190476190474,3.268292682926829,0.031746031746031744,0.6666666666666666,0.2631578947368421,0.4603174603174603,TEN,TE
00-0032398,00-0032398,C.Moore,48,8.73611111111111,7.0256410256410255,5.479166666666667,0.02564102564102564,0.8243243243243243,0.75,0.358974358974359,HOU,WR
00-0032464,00-0032464,K.Raymond,47,9.685185185185185,9.194029850746269,4.638297872340425,0,0.78125,1.5555555555555556,0.3880597014925373,DET,WR
00-0032775,00-0032775,D.Robinson,50,9.185714285714285,6.2592592592592595,3.3,0.037037037037037035,0.7948717948717948,0.5142857142857142,0.3333333333333333,BAL,WR
00-0033009,00-0033009,T.Boyd,64,8.64367816091954,8.793814432989691,4.109375,0.05154639175257732,0.7640449438202247,1.5172413793103448,0.5051546391752577,CIN,WR
00-0033040,00-0033040,T.Hill,126,11.680473372781066,8.905,4.103174603174603,0.035,0.6918918918918919,3.923076923076923,0.45,MIA,WR
00-0033090,00-0033090,H.Henry,41,7.490566037735849,8.344262295081966,4.951219512195122,0.03278688524590164,0.864406779661017,0.20754716981132076,0.39344262295081966,NE,TE
00-0033282,00-0033282,C.Samuel,64,6.329545454545454,6.56,4.515625,0.04,0.6739130434782609,-0.7272727272727273,0.38,WAS,WR
00-0033288,00-0033288,G.Kittle,70,6.443181818181818,8.951923076923077,6.228571428571429,0.10576923076923077,0.6494845360824743,-1.1704545454545454,0.4326923076923077,SF,TE
00-0033307,00-0033307,K.Bourne,35,10.255813953488373,8.509803921568627,4.142857142857143,0.0196078431372549,0.7708333333333334,2.13953488372093,0.43137254901960786,NE,WR
00-0033466,00-0033466,I.McKenzie,44,6.85,6.27536231884058,3.272727272727273,0.057971014492753624,0.8059701492537313,-0.38333333333333336,0.42028985507246375,BUF,WR
00-0033536,00-0033536,M.Williams,63,11.31578947368421,9.623655913978494,5.063492063492063,0.043010752688172046,0.8709677419354839,4.0131578947368425,0.41935483870967744,LAC,WR
00-0033572,00-0033572,J.Agnew,26,4.413793103448276,5.444444444444445,5.076923076923077,0.08333333333333333,0.8235294117647058,-3.0689655172413794,0.2777777777777778,JAX,WR
00-0033591,00-0033591,N.Brown,47,9.20253164556962,6.827586206896552,3.4468085106382977,0.034482758620689655,0.7564102564102564,1.7468354430379747,0.39080459770114945,DAL,WR
00-0033757,00-0033757,R.Tonyan,53,5.066666666666666,6.444444444444445,4.339622641509434,0.027777777777777776,0.5522388059701493,-2.85,0.3333333333333333,GB,TE
00-0033857,00-0033857,J.Smith-Schuster,88,6.548076923076923,8.6610169491525415,5.511363636363637,0.025423728813559324,0.7610619469026548,-1,0.4915254237288136,KC,WR
